episode_date,episode_number,rating,rel_link,season_num,show,title,votes
20 Jan. 2008,1,8.9,/title/tt0959621/,1,Breaking Bad,Pilot,"(19,556)"
27 Jan. 2008,2,8.7,/title/tt1054724/,1,Breaking Bad,Cat's in the Bag...,"(13,758)"
10 Feb. 2008,3,8.7,/title/tt1054725/,1,Breaking Bad,...And the Bag's in the River,"(13,331)"
17 Feb. 2008,4,8.2,/title/tt1054726/,1,Breaking Bad,Cancer Man,"(12,983)"
24 Feb. 2008,5,8.3,/title/tt1054727/,1,Breaking Bad,Gray Matter,"(12,690)"
2 Mar. 2008,6,9.2,/title/tt1054728/,1,Breaking Bad,Crazy Handful of Nothin',"(14,631)"
9 Mar. 2008,7,8.8,/title/tt1054729/,1,Breaking Bad,A No-Rough-Stuff-Type Deal,"(12,917)"
8 Mar. 2009,1,8.7,/title/tt1232244/,2,Breaking Bad,Seven Thirty-Seven,"(11,488)"
15 Mar. 2009,2,9.2,/title/tt1232249/,2,Breaking Bad,Grilled,"(13,555)"
22 Mar. 2009,3,8.3,/title/tt1232250/,2,Breaking Bad,Bit by a Dead Bee,"(11,197)"
29 Mar. 2009,4,8.1,/title/tt1232251/,2,Breaking Bad,Down,"(11,339)"
5 Apr. 2009,5,8.3,/title/tt1232252/,2,Breaking Bad,Breakage,"(10,983)"
12 Apr. 2009,6,8.8,/title/tt1232253/,2,Breaking Bad,Peekaboo,"(12,141)"
19 Apr. 2009,7,8.7,/title/tt1232254/,2,Breaking Bad,Negro Y Azul,"(10,860)"
26 Apr. 2009,8,9.0,/title/tt1232255/,2,Breaking Bad,Better Call Saul,"(12,786)"
3 May 2009,9,8.9,/title/tt1232256/,2,Breaking Bad,4 Days Out,"(12,537)"
10 May 2009,10,8.6,/title/tt1232245/,2,Breaking Bad,Over,"(10,649)"
17 May 2009,11,8.8,/title/tt1232246/,2,Breaking Bad,Mandala,"(11,080)"
24 May 2009,12,9.1,/title/tt1232247/,2,Breaking Bad,Phoenix,"(12,478)"
31 May 2009,13,9.1,/title/tt1232248/,2,Breaking Bad,ABQ,"(12,545)"
21 Mar. 2010,1,8.6,/title/tt1528116/,3,Breaking Bad,No Más,"(10,594)"
28 Mar. 2010,2,8.7,/title/tt1615186/,3,Breaking Bad,Caballo sin Nombre,"(10,214)"
4 Apr. 2010,3,8.4,/title/tt1615187/,3,Breaking Bad,I.F.T.,"(10,280)"
11 Apr. 2010,4,8.1,/title/tt1615554/,3,Breaking Bad,Green Light,"(10,538)"
18 Apr. 2010,5,8.7,/title/tt1615555/,3,Breaking Bad,Más,"(9,921)"
25 Apr. 2010,6,9.2,/title/tt1615556/,3,Breaking Bad,Sunset,"(12,037)"
2 May 2010,7,9.5,/title/tt1615944/,3,Breaking Bad,One Minute,"(15,011)"
